_url,_position,image,image/_title,image/_alt,image/_source,description,price,link,link/_title,link/_text,link/_source
"http://www.asos.com/au/Women/A-To-Z-Of-Brands/Story-Of-Lola/Cat/pgecategory.aspx?cid=19938","4","http://images.asos-media.com/inv/media/0/0/4/2/6182400/nude/image1xl.jpg","","Story Of Lola Oversized Hoodie In Closed Mesh","","Story Of Lola Oversized Hoodie In Closed Mesh","$104.00","http://www.asos.com/au/Story-Of-Lola/Story-Of-Lola-Oversized-Hoodie-In-Closed-Mesh/Prod/pgeproduct.aspx?iid=6182400&cid=19938&sh=0&pge=0&pgesize=36&sort=-1&clr=Nude&totalstyles=64&gridsize=3","","Story Of Lola Oversized Hoodie In Closed Mesh",""
"http://www.asos.com/au/Women/Jeans/High-Waisted-Jeans/Cat/pgecategory.aspx?cid=15159","24","http://images.asos-media.com/inv/media/7/4/5/7/5657547/carnationlightblue/image1xl.jpg","","ASOS Ridley High Waist Skinny Jeans in Carnation Light Stone wash","","ASOS Ridley High Waist Skinny Jeans in Carnation Light Stone wash","$60.00","http://www.asos.com/au/ASOS/ASOS-Ridley-High-Waist-Skinny-Jeans-in-Carnation-Light-Stone-wash/Prod/pgeproduct.aspx?iid=5657547&cid=15159&sh=0&pge=0&pgesize=36&sort=-1&clr=Carnation+light+blue&totalstyles=116&gridsize=3","","ASOS Ridley High Waist Skinny Jeans in Carnation Light Stone wash",""
"http://www.asos.com/au/Women/Jeans/Dark-Wash-Jeans/Cat/pgecategory.aspx?cid=11314","14","http://images.asos-media.com/inv/media/2/5/3/6/5696352/indigo/image1xl.jpg","","ASOS CURVE Lisbon Mid Rise Skinny Ankle Grazer Jean in Binx Wash with High-Low Raw Hem","","ASOS CURVE Lisbon Mid Rise Skinny Ankle Grazer Jean in Binx Wash with High-Low Raw Hem","$60.00","http://www.asos.com/au/ASOS-Curve/ASOS-CURVE-Lisbon-Mid-Rise-Skinny-Ankle-Grazer-Jean-in-Binx-Wash-with-High-Low-Raw-Hem/Prod/pgeproduct.aspx?iid=5696352&cid=11314&sh=0&pge=0&pgesize=36&sort=-1&clr=Indigo&totalstyles=156&gridsize=3","","ASOS CURVE Lisbon Mid Rise Skinny Ankle Grazer Jean in Binx Wash with High-Low Raw Hem",""
"http://www.asos.com/au/Women/Jeans/Ankle-Grazer-Jeans/Cat/pgecategory.aspx?cid=19826","24","http://images.asos-media.com/inv/media/5/4/1/5/6125145/mediumblue/image1xl.jpg","","Hollister Ankle Grazer Jeans With Lace Patchwork","","Hollister Ankle Grazer Jeans With Lace Patchwork","$104.00","http://www.asos.com/au/Hollister/Hollister-Ankle-Grazer-Jeans-With-Lace-Patchwork/Prod/pgeproduct.aspx?iid=6125145&cid=19826&sh=0&pge=0&pgesize=36&sort=-1&clr=Medium+blue&totalstyles=54&gridsize=3","","Hollister Ankle Grazer Jeans With Lace Patchwork",""
"http://www.asos.com/au/Women/Jeans/Ripped-Jeans/Cat/pgecategory.aspx?cid=19823","19","http://images.asos-media.com/inv/media/4/4/3/5/6245344/blue/image1xl.jpg","","Tripp NYC Skinny Jeans With Extreme Distressing","","Tripp NYC Skinny Jeans With Extreme Distressing","$123.00","http://www.asos.com/au/Tripp-NYC/Tripp-NYC-Skinny-Jeans-With-Extreme-Distressing/Prod/pgeproduct.aspx?iid=6245344&cid=19823&sh=0&pge=0&pgesize=36&sort=-1&clr=Blue&totalstyles=84&gridsize=3","","Tripp NYC Skinny Jeans With Extreme Distressing",""
"http://www.asos.com/au/Women/Jeans/Skinny-Jeans/Cat/pgecategory.aspx?cid=10769","36","http://images.asos-media.com/inv/media/5/2/6/5/6055625/black/image1xl.jpg","","Cheap Monday High Spray Skinny Jeans With Distressing","","Cheap Monday High Spray Skinny Jeans With Distressing","$100.00","http://www.asos.com/au/Cheap-Monday/Cheap-Monday-High-Spray-Skinny-Jeans-With-Distressing/Prod/pgeproduct.aspx?iid=6055625&cid=10769&sh=0&pge=0&pgesize=36&sort=-1&clr=Black&totalstyles=365&gridsize=3","","Cheap Monday High Spray Skinny Jeans With Distressing",""
"http://www.asos.com/au/Women/Shorts/Leather-Shorts/Cat/pgecategory.aspx?cid=10848","5","http://images.asos-media.com/inv/media/0/9/5/6/5406590/black/image1xl.jpg","","ASOS High Waisted Shorts in Leather Look","","ASOS High Waisted Shorts in Leather Look","$60.00","http://www.asos.com/au/ASOS/ASOS-High-Waisted-Shorts-in-Leather-Look/Prod/pgeproduct.aspx?iid=5406590&cid=10848&sh=0&pge=0&pgesize=36&sort=-1&clr=Black&totalstyles=5&gridsize=3","","ASOS High Waisted Shorts in Leather Look",""
"http://www.asos.com/au/Women/Shorts/Denim-Shorts/Cat/pgecategory.aspx?cid=10851","27","http://images.asos-media.com/inv/media/9/6/3/5/6025369/blue/image1xl.jpg","","Liquor & Poker Boyfriend Denim Shorts With Colourful Deep South Embroidery","","Liquor & Poker Boyfriend Denim Shorts With Colourful Deep South Embroidery","$64.00","http://www.asos.com/au/Liquor-Poker/Liquor-Poker-Boyfriend-Denim-Shorts-With-Colourful-Deep-South-Embroidery/Prod/pgeproduct.aspx?iid=6025369&cid=10851&sh=0&pge=0&pgesize=36&sort=-1&clr=Blue&totalstyles=32&gridsize=3","","Liquor & Poker Boyfriend Denim Shorts With Colourful Deep South Embroidery",""
"http://www.asos.com/au/Women/Jumpsuits-Playsuits/Jumpsuits/Cat/pgecategory.aspx?cid=15165","5","http://images.asos-media.com/inv/media/4/0/4/1/6021404/khaki/image1xl.jpg","","Lipsy Lightweight Jumpsuit With Drawstring Waist","","Lipsy Lightweight Jumpsuit With Drawstring Waist","$95.00","http://www.asos.com/au/Lipsy/Lipsy-Lightweight-Jumpsuit-With-Drawstring-Waist/Prod/pgeproduct.aspx?iid=6021404&cid=15165&sh=0&pge=0&pgesize=36&sort=-1&clr=Khaki&totalstyles=232&gridsize=3","","Lipsy Lightweight Jumpsuit With Drawstring Waist",""
"http://www.asos.com/au/Women/Jumpsuits-Playsuits/Going-Out-Jumpsuits/Cat/pgecategory.aspx?cid=20983","2","http://images.asos-media.com/inv/media/8/5/7/7/6087758/black/image1xl.jpg","","Vero Moda Tall Angel Sleeve Jumpsuit","","Vero Moda Tall Angel Sleeve Jumpsuit","$85.00","http://www.asos.com/au/Vero-Moda-Tall/Vero-Moda-Tall-Angel-Sleeve-Jumpsuit/Prod/pgeproduct.aspx?iid=6087758&cid=20983&sh=0&pge=0&pgesize=36&sort=-1&clr=Black&totalstyles=169&gridsize=3","","Vero Moda Tall Angel Sleeve Jumpsuit",""
